Rank,Player,Country Code,Country,Championship Points
104,amaro vargas,CHL,Chile,620
105,Felipe Bastias,CHL,Chile,620
106,francisco bottero,ECU,Ecuador,620
107,Nicolas Figueroa Garcia,COL,Colombia,616
108,Patricia Gonzalez Walsh,ARG,Argentina,615
109,Alejandro Garcia Moreno,MEX,Mexico,614
110,Gustavo Mariano,BRA,Brazil,610
111,wilson molina,CHL,Chile,605
112,RAlexC7,MEX,Mexico,605
113,jose roberto cabriales de hoyos,MEX,Mexico,605
114,Tomás Riquelme,CHL,Chile,600
115,Angel gustavo Martinez Lopez,CHL,Chile,600
116,Ignacio Gutierrez Schwerter,CHL,Chile,600
117,Patricio Molina Asencio,CHL,Chile,600
118,Rolando Coronado,MEX,Mexico,599
119,nelson barros,BRA,Brazil,594
120,manuel gonzalez,CHL,Chile,592
121,Martín Piquerez,URY,Uruguay,590
122,Carlos Pardo,CHL,Chile,582
123,Nahuel A,ARG,Argentina,582
124,diego omar campos velazquez,MEX,Mexico,580
125,Pedro Henrique Alves,BRA,Brazil,575
126,Adrian Mejia Galvez,MEX,Mexico,574
127,Lucas Matheus,BRA,Brazil,571
128,bruno bertozzi,BRA,Brazil,570
129,Gaston Kitela,ARG,Argentina,569
130,Jaime Riva,MEX,Mexico,565
131,Lucas Paglia,BRA,Brazil,564
132,Leonardo Braga,BRA,Brazil,564
133,Pedro Librelato,BRA,Brazil,562
134,Joshua Salverredy,PER,Peru,561
135,Felipe Luna,MEX,Mexico,560
136,Pablo Figueroa,MEX,Mexico,560
137,Douglas Castro,BRA,Brazil,559
138,Sebastian Martinez,CHL,Chile,558
139,Manuel Collazos,PER,Peru,554
140,Jose Ricardo,BRA,Brazil,552
141,Hugo Suanno,BRA,Brazil,547
142,Fernando López Gallardo,CHL,Chile,545
143,Mariano Hernandez,ARG,Argentina,545
144,Alex Douglas Pereira Junior,BRA,Brazil,544
145,Tomas Traub,CHL,Chile,544
146,Jorge Nieto,CHL,Chile,542
147,IGodofrock3,MEX,Mexico,540
148,Espinola Ortega Juan Adrian,MEX,Mexico,537
149,Carlos Lopes,BRA,Brazil,535
150,CHRISTIAN CRUZ,MEX,Mexico,534
151,Arath Gomez,MEX,Mexico,532
152,jose maria zilli da silva jr,BRA,Brazil,532
153,Fernando Maia Noronha,BRA,Brazil,525
154,Camilo Fernandez,CHL,Chile,524
155,Luis Pedro F,BRA,Brazil,524
156,adilson junior,BRA,Brazil,520
157,Oliver Rochin,MEX,Mexico,520
158,pedro thiesen,BRA,Brazil,519
159,Santiago Prieto,CHL,Chile,517
160,rodrigo merck,GTM,Guatemala,514
161,Williams Garrido,CHL,Chile,513
162,Sebastián Iturra,CHL,Chile,512
163,José Eduardo Rodríguez,MEX,Mexico,505
164,abraham l,MEX,Mexico,502
165,Hamilton V,BRA,Brazil,497
166,Daniel Velazquez,BRA,Brazil,496
167,Jesús Rodríguez,PER,Peru,494
168,Javier Rosano,MEX,Mexico,492
169,Leonardo Souza,BRA,Brazil,491
170,Dyego Rathje,BRA,Brazil,490
171,GUSTAVO Wada,BRA,Brazil,490
172,Leonardo Danna,BRA,Brazil,482
173,Pedro Bandeira,BRA,Brazil,482
174,Ryan Wesley,BRA,Brazil,482
175,Sebastian Siegel,CHL,Chile,480
176,Y0omii,CHL,Chile,480
177,Alfonso Hernandez,MEX,Mexico,480
178,fabian ulloa,CHL,Chile,480
179,raul ignacio barahona duran,CHL,Chile,479
180,joaquin gonzalez,MEX,Mexico,477
181,Winston Chiba,BRA,Brazil,476
182,pablotepro007,MEX,Mexico,474
183,Angel Aranibar,PER,Peru,470
184,Andrew Ariel Dias,BRA,Brazil,470
185,joel pinheiro,BRA,Brazil,468
186,Oscar Vera,MEX,Mexico,465
187,Rovinsson Chingaté,COL,Colombia,465
188,Flavio Soares,BRA,Brazil,464
189,julian diaz ferrara,ARG,Argentina,463
190,Juan Martin Bravo,ARG,Argentina,462
191,Jose Lagunes Maitret,MEX,Mexico,457
192,Henrique Scabbia,BRA,Brazil,455
193,Diego Fernandez,URY,Uruguay,455
